Table 1,,,,,,,,
serialNo,car_brand,car_model,model_name_th,nickname,item_name,fitment_detail,standard_price,
HB-0300001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),หวีคลัทช์,-,"3,100.00",
HB-0300005,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),หวีคลัทช์,-,"1,900.00",
HB-0300014,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),หวีคลัทช์,-,"1,850.00",
HB-0200001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),จานคลัทช์,-,"4,920.00",
HB-0200007,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),จานคลัทช์,-,"1,800.00",
HB-0600001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ซีลปลายเกียร์,-,120.00,
HA-0000001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ฟลายวีล,-,"5,346.00",
HK-0000001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ซีลท้ายเกียร์,-,180.00,
CB-0000003,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ซีลลูกปืนล้อ,หน้า,200.00,
AE-0000003,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),กระบอกเบรค,หลัง,650.00,
AE-0000012,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),กระบอกเบรค,หลัง,450.00,
AE-0000035,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),กระบอกเบรค,หลัง,350.00,
Z-10800001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),แป๊ป,-,,
HI-0000003,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ซีลเฟืองท้าย,-,250.00,
Z-05200002,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),สลักดิสเบรค,-,200.00,
AH-0000005,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกสูบดิสเบรค,หน้า,280.00,
AH-0000010,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกสูบดิสเบรค,หน้า,280.00,
Z-05600003,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ท่อน้ำ,-,180.00,
Z-01600001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),แหนบ,-,,
Z-01600002,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),แหนบ,-,,
Z-01600003,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),แหนบ,-,,
Z-01600004,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),แหนบ,-,,
Z-11500001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),แป๊ปน้ำไหลกลับ,-,,
AF-0000010,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ชุดซ่อมดิสเบรค,หน้า,400.00,
AF-0000057,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ชุดซ่อมดิสเบรค,หน้า,450.00,
Z-04400003,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ซีลล้อ,หน้า,120.00,
Z-02700005,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ยางหูโช้คอัพ,หลัง,,
Z-02700003,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ยางหูโช้คอัพ,หลัง,20.00,
DF-0500134,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากแร็ค,-,500.00,
DF-0500017,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากแร็ค,-,550.00,
